algoritmo,tamanho,repeticao,tempo_s
buscaBinariaIterativa,1000000,10,0.000000060
buscaBinariaIterativa,1000000,11,0.000000060
buscaBinariaIterativa,1000000,12,0.000000050
buscaBinariaIterativa,1000000,13,0.000000060
buscaBinariaIterativa,1000000,14,0.000000060
buscaBinariaIterativa,1000000,15,0.000000050
buscaBinariaIterativa,1000000,16,0.000000060
buscaBinariaIterativa,1000000,17,0.000000050
buscaBinariaIterativa,1000000,18,0.000000060
buscaBinariaIterativa,1000000,19,0.000000060
buscaBinariaIterativa,1000000,20,0.000000060
buscaBinariaIterativa,1000000,21,0.000000050
buscaBinariaIterativa,1000000,22,0.000000060
buscaBinariaIterativa,1000000,23,0.000000061
buscaBinariaIterativa,1000000,24,0.000000060
buscaBinariaIterativa,1000000,25,0.000000060
buscaBinariaIterativa,1000000,26,0.000000050
buscaBinariaIterativa,1000000,27,0.000000060
buscaBinariaIterativa,1000000,28,0.000000060
buscaBinariaIterativa,1000000,29,0.000000060
buscaBinariaIterativa,1000000,30,0.000000060
buscaBinariaIterativa,1000000,31,0.000000060
buscaBinariaIterativa,1000000,32,0.000000060
buscaBinariaIterativa,1000000,33,0.000000050
buscaBinariaIterativa,1000000,34,0.000000060
buscaBinariaIterativa,1000000,35,0.000000060
buscaBinariaIterativa,1000000,36,0.000000061
buscaBinariaIterativa,1000000,37,0.000000060
buscaBinariaIterativa,1000000,38,0.000000060
buscaBinariaIterativa,1000000,39,0.000000060
buscaBinariaIterativa,1000000,40,0.000000050
buscaBinariaIterativa,1000000,41,0.000000061
buscaBinariaIterativa,1000000,42,0.000000060
buscaBinariaIterativa,1000000,43,0.000000060
buscaBinariaIterativa,1000000,44,0.000000060
buscaBinariaIterativa,1000000,45,0.000000060
buscaBinariaIterativa,1000000,46,0.000000060
buscaBinariaIterativa,1000000,47,0.000000060
buscaBinariaIterativa,1000000,48,0.000000050
buscaBinariaIterativa,1000000,49,0.000000060
buscaBinariaIterativa,1000000,50,0.000000060
buscaBinariaIterativa,1000000,51,0.000000060
buscaBinariaIterativa,1000000,52,0.000000060
buscaBinariaIterativa,1000000,53,0.000000060
buscaBinariaIterativa,1000000,54,0.000000061
buscaBinariaIterativa,1000000,55,0.000000060
buscaBinariaIterativa,1000000,56,0.000000060
buscaBinariaIterativa,1000000,57,0.000000060
buscaBinariaIterativa,1000000,58,0.000000060
buscaBinariaIterativa,1000000,59,0.000000050
buscaBinariaIterativa,1000000,60,0.000000060
buscaBinariaIterativa,1000000,61,0.000000050
buscaBinariaIterativa,1000000,62,0.000000060
buscaBinariaIterativa,1000000,63,0.000000060
buscaBinariaIterativa,1000000,64,0.000000060
buscaBinariaIterativa,1000000,65,0.000000060
buscaBinariaIterativa,1000000,66,0.000000060
buscaBinariaIterativa,1000000,67,0.000000061
buscaBinariaIterativa,1000000,68,0.000000060
buscaBinariaIterativa,1000000,69,0.000000060
buscaBinariaIterativa,1000000,70,0.000000060
buscaBinariaIterativa,1000000,71,0.000000060
buscaBinariaIterativa,1000000,72,0.000000070
buscaBinariaIterativa,1000000,73,0.000000061
buscaBinariaIterativa,1000000,74,0.000000060
buscaBinariaIterativa,1000000,75,0.000000050
buscaBinariaIterativa,1000000,76,0.000000060
buscaBinariaIterativa,1000000,77,0.000000060
buscaBinariaIterativa,1000000,78,0.000000060
buscaBinariaIterativa,1000000,79,0.000000060
buscaBinariaIterativa,1000000,80,0.000000060
buscaBinariaIterativa,1000000,81,0.000000060
buscaBinariaIterativa,1000000,82,0.000000060
buscaBinariaIterativa,1000000,83,0.000000060
